mud turtle,terrapin,"box turtle, box tortoise",banded gecko,"whiptail, whiptail lizard","leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",agama,"American chameleon, anole, Anolis carolinensis","common iguana, iguana, Iguana iguana","African chameleon, Chamaeleo chamaeleon","Gila monster, Heloderma suspectum","green lizard, Lacerta viridis",alligator lizard,"frilled lizard, Chlamydosaurus kingi","Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis","loggerhead, loggerhead turtle, Caretta caretta","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui","tree frog, tree-frog","bullfrog, Rana catesbeiana","axolotl, mud puppy, Ambystoma mexicanum","spotted salamander, Ambystoma maculatum",eft,"European fire salamander, Salamandra salamandra","common newt, Triturus vulgaris","great grey owl, great gray owl, Strix nebulosa","indigo bunting, indigo finch, indigo bird, Passerina cyanea",vulture,"water ouzel, dipper",kite,"African crocodile, Nile crocodile, Crocodylus niloticus",magpie,"bald eagle, American eagle, Haliaeetus leucocephalus","revolver, six-gun, six-shooter",chickadee,"robin, American robin, Turdus migratorius",bulbul,jay,"refrigerator, icebox",reflex camera,"restaurant, eating house, eating place, eatery","remote control, remote",reel,"recreational vehicle, RV, R.V.",sarong,"sax, saxophone",safety pin,safe,"saltshaker, salt shaker",sandal,"junco, snowbird"
Rottweiler,"German shepherd, German shepherd dog, German police dog, alsatian","Shetland sheepdog, Shetland sheep dog, Shetland",collie,"Bouvier des Flandres, Bouviers des Flandres",Border collie,"Old English sheepdog, bobtail",komondor,Gordon setter,kelpie,Sussex spaniel,"Irish setter, red setter",Brittany spaniel,Irish water spaniel,EntleBucher,Greater Swiss Mountain dog,boxer,Bernese mountain dog,miniature pinscher,briard,"clumber, clumber spaniel","chow, chow chow","Eskimo dog, husky","cocker spaniel, English cocker spaniel, cocker","Newfoundland, Newfoundland dog","Doberman, Doberman pinscher",French bulldog,Great Pyrenees,Appenzeller,"English springer, English springer spaniel","malamute, malemute, Alaskan malamute",Great Dane,Welsh springer spaniel,Leonberg,Pomeranian,"Samoyed, Samoyede","pug, pug-dog",bull mastiff,kuvasz,Tibetan mastiff,schipperke,groenendael,"Saint Bernard, St Bernard",malinois,basenji,"affenpinscher, monkey pinscher, monkey dog",Siberian husky,"dalmatian, coach dog, carriage dog",golden retriever,"vizsla, Hungarian pointer"
"Siamese cat, Siamese","kit fox, Vulpes macrotis","Arctic fox, white fox, Alopex lagopus","grey fox, gray fox, Urocyon cinereoargenteus",Persian cat,"tabby, tabby cat",tiger cat,"Angora, Angora rabbit",hare,"starfish, sea star","sea cucumber, holothurian",sea urchin,"lycaenid, lycaenid butterfly","lion, king of beasts, Panthera leo","wood rabbit, cottontail, cottontail rabbit",Egyptian cat,dung beetle,"lynx, catamount","cougar, puma, catamount, mountain lion, painter, panther, Felis concolor","leopard, Panthera pardus",mongoose,"snow leopard, ounce, Panthera uncia","jaguar, panther, Panthera onca, Felis onca",rhinoceros beetle,fly,"red fox, Vulpes vulpes",bee,"leaf beetle, chrysomelid","meerkat, mierkat","fox squirrel, eastern fox squirrel, Sciurus niger","grasshopper, hopper",beaver,marmot,"guinea pig, Cavia cobaya",weevil,"porcupine, hedgehog","ant, emmet, pismire",cricket,"sloth bear, Melursus ursinus, Ursus ursinus",hamster,"tiger, Panthera tigris","ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus","American black bear, black bear, Ursus americanus, Euarctos americanus","brown bear, bruin, Ursus arctos","ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle","cheetah, chetah, Acinonyx jubatus","ground beetle, carabid beetle","long-horned beetle, longicorn, longicorn beetle",tiger beetle,"sulphur butterfly, sulfur butterfly"
"squirrel monkey, Saimiri sciureus","African elephant, Loxodonta africana","Indian elephant, Elephas maximus","Madagascar cat, ring-tailed lemur, Lemur catta","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens","indri, indris, Indri indri, Indri brevicaudatus","giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","spider monkey, Ateles geoffroyi",lionfish,"apiary, bee house",acoustic guitar,"gar, garfish, garpike, billfish, Lepisosteus osseus","gibbon, Hylobates lar","aircraft carrier, carrier, flattop, attack aircraft carrier","puffer, pufferfish, blowfish, globefish","accordion, piano accordion, squeeze box",abacus,analog clock,"barracouta, snoek","howler monkey, howler",abaya,langur,"titi, titi monkey",baboon,"siamang, Hylobates syndactylus, Symphalangus syndactylus","lacewing, lacewing fly","academic gown, academic robe, judge's robe","capuchin, ringtail, Cebus capucinus","patas, hussar monkey, Erythrocebus patas","colobus, colobus monkey","guenon, guenon monkey",airliner,macaque,leafhopper,"cicada, cicala","cockroach, roach","mantis, mantid","walking stick, walkingstick, stick insect","amphibian, amphibious vehicle","chimpanzee, chimp, Pan troglodytes",ambulance,sturgeon,marmoset,altar,anemone fish,"rock beauty, Holocanthus tricolor","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",eel,"proboscis monkey, Nasalis larvatus","airship, dirigible"
Crock Pot,"crib, cot",crate,cradle,"cowboy hat, ten-gallon hat",crane,crash helmet,"dial telephone, dial phone",desk,desktop computer,croquet ball,"dam, dike, dyke",cuirass,crutch,electric guitar,electric locomotive,"electric fan, blower",envelope,entertainment center,Dutch oven,dumbbell,"dock, dockage, docking facility",cowboy boot,espresso maker,"computer keyboard, keypad","cornet, horn, trumpet, trump","container ship, containership, container vessel","confectionery, confectionary, candy store","diaper, nappy, napkin","corkscrew, bottle screw","dogsled, dog sled, dog sleigh",convertible,"dishrag, dishcloth",cliff dwelling,digital clock,"dishwasher, dish washer, dishwashing machine",digital watch,"cleaver, meat cleaver, chopper","dining table, board","chime, bell, gong",drumstick,"disk brake, disc brake","cinema, movie theater, movie theatre, movie house, picture palace","church, church building",dome,"doormat, welcome mat","drum, membranophone, tympan",Christmas stocking,"china cabinet, china closet","drilling platform, offshore rig"
hair spray,hair slide,guillotine,"grand piano, grand","greenhouse, nursery, glasshouse","grocery store, grocery, food market, market","grille, radiator grille",half track,gown,hammer,hamper,"hard disc, hard disk, fixed disk","gong, tam-tam","hand blower, blow dryer, blow drier, hair dryer, hair drier","golfcart, golf cart","hand-held computer, hand-held microcomputer",gondola,goblet,"gas pump, gasoline pump, petrol pump, island dispenser",golf ball,go-kart,four-poster,"handkerchief, hankie, hanky, hankey","rock python, rock snake, Python sebae",vine snake,"night snake, Hypsiglena torquata",water snake,"boa constrictor, Constrictor constrictor","garter snake, grass snake","harvestman, daddy longlegs, Phalangium opilio","king snake, kingsnake","gasmask, respirator, gas helmet",freight car,"harmonica, mouth organ, harp, mouth harp","garbage truck, dustcart","green snake, grass snake","hognose snake, puff adder, sand viper",triceratops,"thunder snake, worm snake, Carphophis amoenus","ringneck snake, ring-necked snake, ring snake","French horn, horn","American alligator, Alligator mississipiensis",fur coat,"frying pan, frypan, skillet",hatchet,holster,"harvester, reaper",honeycomb,"home theater, home theatre",harp
poncho,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",plate rack,"plow, plough","prayer rug, prayer mat",power drill,"plunger, plumber's helper",pole,"pot, flowerpot",potter's wheel,"Polaroid camera, Polaroid Land camera","pop bottle, soda bottle","pool table, billiard table, snooker table",printer,plastic bag,"quilt, comforter, comfort, puff","skunk, polecat, wood pussy",pill bottle,planetarium,"gorilla, Gorilla gorilla",badger,"orangutan, orang, orangutang, Pongo pygmaeus","three-toed sloth, ai, Bradypus tridactylus",armadillo,pillow,"pick, plectrum, plectron","quill, quill pen","tiger shark, Galeocerdo cuvieri","puck, hockey puck",stingray,"hammerhead, hammerhead shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","picket fence, paling","electric ray, crampfish, numbfish, torpedo",purse,"piggy bank, penny bank","goldfish, Carassius auratus",pickelhaube,"punching bag, punch bag, punching ball, punchball",pier,"pickup, pickup truck","prison, prison house",projector,pinwheel,"tench, Tinca tinca","projectile, missile",ping-pong ball,"plane, carpenter's plane, woodworking plane","pirate, pirate ship","pitcher, ewer"
spatula,speedboat,space shuttle,"spider web, spider's web",space heater,sombrero,soup bowl,"solar dish, solar collector, solar furnace",space bar,sock,screwdriver,school bus,schooner,scoreboard,shovel,"screen, CRT screen","scale, weighing machine",shower cap,sliding door,screw,shower curtain,soccer ball,ski,"slide rule, slipstick",ski mask,snowmobile,"seat belt, seatbelt",snorkel,running shoe,rifle,"rocking chair, rocker",sleeping bag,rotisserie,soap dispenser,"snowplow, snowplough","slot, one-armed bandit","rule, ruler","rubber eraser, rubber, pencil eraser",rugby ball,Labrador retriever,scabbard,German short-haired pointer,Chesapeake Bay retriever,cock,English setter,"brambling, Fringilla montifringilla","goldfinch, Carduelis carduelis","ostrich, Struthio camelus",hen,"house finch, linnet, Carpodacus mexicanus"
"switch, electric switch, electrical switch","thresher, thrasher, threshing machine",tape player,teapot,syringe,swing,table lamp,"swimming trunks, bathing trunks","tank, army tank, armored combat vehicle, armoured combat vehicle","sunscreen, sunblock, sun blocker",suspension bridge,"teddy, teddy bear","swab, swob, mop",sundial,"sunglasses, dark glasses, shades",sweatshirt,"television, television system","tobacco shop, tobacconist shop, tobacconist",toaster,torch,throne,tennis ball,tile roof,sunglass,"thatch, thatched roof",toilet seat,"flagpole, flagstaff","theater curtain, theatre curtain",thimble,combination lock,"coil, spiral, volute, whorl, helix",coffeepot,cocktail shaker,coffee mug,"chiffonier, commode","flute, transverse flute","clog, geta, patten, sabot",cloak,forklift,fountain,folding chair,football helmet,"suit, suit of clothes",fountain pen,chest,chain,"cellular telephone, cellular phone, cellphone, cell, mobile phone",chainlink fence,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","chain saw, chainsaw"
wreck,"worm fence, snake fence, snake-rail fence, Virginia fence",Windsor tie,wine bottle,"wool, woolen, woollen",wooden spoon,wing,wok,window shade,water tower,window screen,whiskey jug,water jug,whistle,wig,fig,lemon,"jackfruit, jak, jack",orange,strawberry,"pineapple, ananas",banana,yawl,yurt,"crossword puzzle, crossword",comic book,"web site, website, internet site, site",street sign,broccoli,"bagel, beigel",cauliflower,"ice cream, icecream","traffic light, traffic signal, stoplight",acorn squash,head cabbage,"hotdog, hot dog, red hot",spaghetti squash,"zucchini, courgette",mashed potato,pretzel,"ice lolly, lolly, lollipop, popsicle",French loaf,cheeseburger,trifle,"hot pot, hotpot",plate,consomme,menu,guacamole,"book jacket, dust cover, dust jacket, dust wrapper"
