wreck,park bench,paper towel,"parachute, chute","passenger car, coach, carriage","parallel bars, bars","panpipe, pandean pipe, syrinx",parking meter,"worm fence, snake fence, snake-rail fence, Virginia fence",water jug,wine bottle,Windsor tie,"patio, terrace","wool, woolen, woollen",wing,wooden spoon,window shade,yawl,water tower,palace,wok,whiskey jug,packet,window screen,whistle,photocopier,wig,"paddle, boat paddle",oil filter,"organ, pipe organ","oscilloscope, scope, cathode-ray oscilloscope, CRO","pajama, pyjama, pj's, jammies",paintbrush,padlock,"paddlewheel, paddle wheel",oxygen mask,overskirt,oxcart,trilobite,"sidewinder, horned rattlesnake, Crotalus cerastes","diamondback, diamondback rattlesnake, Crotalus adamanteus",sea snake,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",pencil sharpener,"pencil box, pencil case",green mamba,"pedestal, plinth, footstall",Petri dish,"pay-phone, pay-station","perfume, essence"
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis","German shepherd, German shepherd dog, German police dog, alsatian","Gila monster, Heloderma suspectum","African chameleon, Chamaeleo chamaeleon",mud turtle,alligator lizard,agama,banded gecko,"whiptail, whiptail lizard","green lizard, Lacerta viridis","common iguana, iguana, Iguana iguana","box turtle, box tortoise","frilled lizard, Chlamydosaurus kingi","American chameleon, anole, Anolis carolinensis",terrapin,Greater Swiss Mountain dog,"Doberman, Doberman pinscher",Bernese mountain dog,miniature pinscher,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",Rottweiler,"African crocodile, Nile crocodile, Crocodylus niloticus","loggerhead, loggerhead turtle, Caretta caretta","indigo bunting, indigo finch, indigo bird, Passerina cyanea","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui","tree frog, tree-frog","axolotl, mud puppy, Ambystoma mexicanum","bullfrog, Rana catesbeiana","robin, American robin, Turdus migratorius",bulbul,magpie,"European fire salamander, Salamandra salamandra",chickadee,"water ouzel, dipper",jay,"spotted salamander, Ambystoma maculatum","great grey owl, great gray owl, Strix nebulosa","common newt, Triturus vulgaris",eft,vulture,kite,"bald eagle, American eagle, Haliaeetus leucocephalus","tiger shark, Galeocerdo cuvieri",stingray,"hammerhead, hammerhead shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","electric ray, crampfish, numbfish, torpedo","goldfish, Carassius auratus","tench, Tinca tinca","junco, snowbird"
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","squirrel monkey, Saimiri sciureus",lionfish,"African elephant, Loxodonta africana","Indian elephant, Elephas maximus","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens","indri, indris, Indri indri, Indri brevicaudatus","Madagascar cat, ring-tailed lemur, Lemur catta","spider monkey, Ateles geoffroyi","balance beam, beam","apiary, bee house","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",apron,"assault rifle, assault gun","gar, garfish, garpike, billfish, Lepisosteus osseus",balloon,acoustic guitar,"backpack, back pack, knapsack, packsack, rucksack, haversack","bakery, bakeshop, bakehouse","aircraft carrier, carrier, flattop, attack aircraft carrier","accordion, piano accordion, squeeze box",analog clock,"puffer, pufferfish, blowfish, globefish",abacus,"gibbon, Hylobates lar",abaya,"barracouta, snoek","academic gown, academic robe, judge's robe",airliner,"howler monkey, howler","amphibian, amphibious vehicle",ambulance,"titi, titi monkey",altar,langur,"capuchin, ringtail, Cebus capucinus","airship, dirigible",baboon,"siamang, Hylobates syndactylus, Symphalangus syndactylus","colobus, colobus monkey",sturgeon,"patas, hussar monkey, Erythrocebus patas","guenon, guenon monkey",macaque,marmoset,anemone fish,"rock beauty, Holocanthus tricolor",eel,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch","proboscis monkey, Nasalis larvatus"
"thresher, thrasher, threshing machine","switch, electric switch, electrical switch","swimming trunks, bathing trunks",swing,syringe,table lamp,tape player,"tank, army tank, armored combat vehicle, armoured combat vehicle","tricycle, trike, velocipede",totem pole,sweatshirt,teapot,"sunscreen, sunblock, sun blocker",suspension bridge,"swab, swob, mop","sunglasses, dark glasses, shades",toaster,sundial,toyshop,tractor,"tobacco shop, tobacconist shop, tobacconist",tile roof,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",torch,tray,trench coat,throne,sunglass,toilet seat,turnstile,"tow truck, tow car, wrecker","teddy, teddy bear","television, television system",tennis ball,"thatch, thatched roof",thimble,"theater curtain, theatre curtain",trimaran,tripod,combination lock,trombone,"coil, spiral, volute, whorl, helix",triumphal arch,coffeepot,cocktail shaker,"trolleybus, trolley coach, trackless trolley","clog, geta, patten, sabot",coffee mug,"tub, vat",cloak
wire-haired fox terrier,Lakeland terrier,"Airedale, Airedale terrier","Sealyham terrier, Sealyham",Yorkshire terrier,Norfolk terrier,Norwich terrier,"Shetland sheepdog, Shetland sheep dog, Shetland",collie,Border collie,"Old English sheepdog, bobtail",komondor,"Bouvier des Flandres, Bouviers des Flandres","cairn, cairn terrier",kelpie,briard,"Irish setter, red setter",Gordon setter,Irish water spaniel,curly-coated retriever,kuvasz,Sussex spaniel,malinois,schipperke,Australian terrier,groenendael,Brittany spaniel,"Scotch terrier, Scottish terrier, Scottie",miniature schnauzer,giant schnauzer,"Boston bull, Boston terrier","silky terrier, Sydney silky","clumber, clumber spaniel",Weimaraner,"cocker spaniel, English cocker spaniel, cocker","Dandie Dinmont, Dandie Dinmont terrier",standard schnauzer,"English springer, English springer spaniel",soft-coated wheaten terrier,Welsh springer spaniel,West Highland white terrier,Bedlington terrier,"Tibetan terrier, chrysanthemum dog",Irish terrier,"Lhasa, Lhasa apso",Kerry blue terrier,"Staffordshire bullterrier, Staffordshire bull terrier",Border terrier,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",flat-coated retriever
bluetick,black-and-tan coonhound,"borzoi, Russian wolfhound","liner, ocean liner",Irish wolfhound,English foxhound,redbone,"Walker hound, Walker foxhound","bloodhound, sleuthhound",beagle,Japanese spaniel,sea lion,"Pekinese, Pekingese, Peke",Chihuahua,"dugong, Dugong dugon","killer whale, killer, orca, grampus, sea wolf, Orcinus orca","Maltese dog, Maltese terrier, Maltese",Shih-Tzu,"lawn mower, mower",kimono,"lipstick, lip rouge","basset, basset hound",papillon,Blenheim spaniel,"lighter, light, igniter, ignitor",toy terrier,"limousine, limo",lifeboat,Rhodesian ridgeback,"Afghan hound, Afghan",library,"lens cap, lens cover","letter opener, paper knife, paperknife",lotion,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",Loafer,"loupe, jeweler's loupe",knee pad,knot,"lab coat, laboratory coat","lampshade, lamp shade","Scottish deerhound, deerhound",ladle,"laptop, laptop computer",Italian greyhound,"Saluki, gazelle hound",whippet,"otterhound, otter hound","Ibizan hound, Ibizan Podenco","Norwegian elkhound, elkhound"
snail,conch,slug,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus","sea slug, nudibranch","chiton, coat-of-mail shell, sea cradle, polyplacophore","chambered nautilus, pearly nautilus, nautilus","red-breasted merganser, Mergus serrator","rock crab, Cancer irroratus",coucal,"wolf spider, hunting spider",hornbill,"Dungeness crab, Cancer magister",toucan,jacamar,peacock,tarantula,bee eater,fiddler crab,"barn spider, Araneus cavaticus","garden spider, Aranea diademata","black and gold garden spider, Argiope aurantia",scorpion,hummingbird,drake,"black widow, Latrodectus mactans",wombat,partridge,brain coral,goose,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",jellyfish,"sea anemone, anemone",macaw,"African grey, African gray, Psittacus erithacus","ruffed grouse, partridge, Bonasa umbellus","wallaby, brush kangaroo",lorikeet,quail,"prairie chicken, prairie grouse, prairie fowl","flatworm, platyhelminth","black swan, Cygnus atratus",ptarmigan,tusker,tick,black grouse,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus","echidna, spiny anteater, anteater",centipede,"nematode, nematode worm, roundworm"
"revolver, six-gun, six-shooter",rifle,"rocking chair, rocker",rotisserie,"rule, ruler","chiffonier, commode",rugby ball,running shoe,"refrigerator, icebox","cello, violoncello","rubber eraser, rubber, pencil eraser","flagpole, flagstaff","remote control, remote","restaurant, eating house, eating place, eatery",reflex camera,"scale, weighing machine","flute, transverse flute",reel,"recreational vehicle, RV, R.V.",chest,"bucket, pail",forklift,fountain,Labrador retriever,folding chair,football helmet,fountain pen,scabbard,golden retriever,"vizsla, Hungarian pointer",German short-haired pointer,Chesapeake Bay retriever,chain,"cellular telephone, cellular phone, cellphone, cell, mobile phone",sarong,chainlink fence,safe,"sax, saxophone",safety pin,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","saltshaker, salt shaker","chain saw, chainsaw",sandal,English setter,cock,"brambling, Fringilla montifringilla","goldfinch, Carduelis carduelis","ostrich, Struthio camelus",hen,"house finch, linnet, Carpodacus mexicanus"
Crock Pot,"crib, cot",crash helmet,crate,crane,cradle,"cowboy hat, ten-gallon hat",electric guitar,electric locomotive,"dial telephone, dial phone","electric fan, blower",envelope,entertainment center,Dutch oven,dumbbell,desk,desktop computer,"dam, dike, dyke",croquet ball,cuirass,crutch,espresso maker,"dock, dockage, docking facility","dishrag, dishcloth","diaper, nappy, napkin","dishwasher, dish washer, dishwashing machine",digital clock,digital watch,"dining table, board","cleaver, meat cleaver, chopper","disk brake, disc brake","chime, bell, gong",cliff dwelling,"church, church building","cinema, movie theater, movie theatre, movie house, picture palace","dogsled, dog sled, dog sleigh",Christmas stocking,"china cabinet, china closet",cowboy boot,drumstick,"computer keyboard, keypad",dome,"cornet, horn, trumpet, trump","container ship, containership, container vessel","doormat, welcome mat","confectionery, confectionary, candy store","drum, membranophone, tympan","drilling platform, offshore rig","corkscrew, bottle screw",convertible
hair spray,"grand piano, grand",hair slide,gown,guillotine,"greenhouse, nursery, glasshouse","grille, radiator grille","grocery store, grocery, food market, market","gong, tam-tam","golfcart, golf cart",gondola,half track,goblet,golf ball,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",go-kart,"gas pump, gasoline pump, petrol pump, island dispenser","rock python, rock snake, Python sebae",four-poster,"night snake, Hypsiglena torquata",vine snake,"Indian cobra, Naja naja","harvestman, daddy longlegs, Phalangium opilio",water snake,"boa constrictor, Constrictor constrictor","albatross, mollymawk",hammer,"garter snake, grass snake",pelican,"oystercatcher, oyster catcher","king snake, kingsnake",hamper,"gasmask, respirator, gas helmet",freight car,"hand blower, blow dryer, blow drier, hair dryer, hair drier",dowitcher,"king penguin, Aptenodytes patagonica","green snake, grass snake","hand-held computer, hand-held microcomputer","redshank, Tringa totanus","garbage truck, dustcart","hognose snake, puff adder, sand viper",triceratops,"thunder snake, worm snake, Carphophis amoenus","ringneck snake, ring-necked snake, ring snake","American alligator, Alligator mississipiensis","handkerchief, hankie, hanky, hankey","French horn, horn",fur coat,"frying pan, frypan, skillet"
